model,run_id,wandb_name,wandb_url,config_features,config_n_trials,config_random_state,config_search_space,config_tuning_config_name,config_early_stopping_rounds,summary_gamma,summary_trial,summary_val_r2,summary_test_r2,summary_val_mae,summary_test_mae,summary_train_r2,summary_val_rmse,summary_max_depth,summary_reg_alpha,summary_subsample,summary_test_rmse,summary_train_mae,summary_best_gamma,summary_reg_lambda,summary_train_rmse,summary_n_estimators,summary_best_val_rmse,summary_learning_rate,summary_best_max_depth,summary_best_reg_alpha,summary_best_subsample,summary_best_reg_lambda,summary_colsample_bytree,summary_min_child_weight,summary_best_n_estimators,summary_best_learning_rate,summary_feature_importance,summary_best_colsample_bytree,summary_best_min_child_weight,config_max_epochs,config_nn_config_name,config_early_stopping_patience,summary_epoch,summary_dropout,summary_val_loss,summary_activation,summary_batch_size,summary_train_loss,summary_architecture,summary_best_dropout,summary_weight_decay,summary_baseline_val_r2,summary_best_activation,summary_best_batch_size,summary_training_curves,summary_baseline_val_mae,summary_baseline_val_rmse,summary_best_architecture,summary_best_weight_decay,summary_residual_analysis
xgboost,xgboost_tuning_text_probe_v2+text-20260730T131147Z,xgboost-xgboost_tuning_text_probe_v2+text-20260730T131147Z,https://wandb.ai/leonardo-a-heis/diplo-mod-1/runs/1xg4h2rj,tabular+tfidf,50,42,"{'gamma': [1e-08, 0.001], 'max_depth': [3, 8], 'reg_alpha': [1e-08, 10], 'subsample': [0.5, 1], 'reg_lambda': [1e-08, 1e-05], 'n_estimators': [100, 500], 'learning_rate': [0.02, 0.2], 'colsample_bytree': [0.5, 1], 'min_child_weight': [1, 10]}",xgboost_tuning_text_probe_v2.json,20.0,0.0005886339726755773,49,0.7780342698097229,0.7745112776756287,1.110361099243164,1.1202623844146729,0.8783633708953857,1.433497428894043,7.0,0.005425160073731966,0.9680112540021922,1.445315718650818,0.8340632915496826,0.0003476681165664887,2.842239161441518e-08,1.0594550371170044,457.0,1.433497428894043,0.12261136954709027,7.0,0.0006842761454463577,0.9713386595732588,2.489962422261251e-08,0.7761025258482941,2.0,486.0,0.1376745040972406,"{'path': 'media/images/feature_importance_54_d1dc85ce21fb432bf462.png', 'size': 38359, '_type': 'image-file', 'width': 800, 'format': 'png', 'height': 800, 'sha256': 'd1dc85ce21fb432bf462bc8892513914785bece8f31b6991049c27111b34cab1'}",0.8781008449058327,5.0,,,,,,,,,,,,,,,,,,,,,
nn,nn_training_wide_v1-20260731T174724Z,nn-nn_training_wide_v1-20260731T174724Z,https://wandb.ai/leonardo-a-heis/diplo-mod-1/runs/75rbilv8,,30,42,"{'dropout': [0.1, 0.5], 'activation': ['relu', 'gelu', 'silu'], 'batch_size': [64, 128, 256, 512], 'architecture': ['128_64', '256_64', '512_128_32', '1024_256_64'], 'weight_decay': [1e-06, 0.01], 'learning_rate': [0.0001, 0.03]}",,,,29,0.7730715274810791,0.7690459489822388,1.1176759004592896,1.1251903772354126,0.9058940410614014,1.4494339227676392,,,,1.4627264738082886,0.718096137046814,,,0.9318777322769164,,1.4494339227676392,0.0026962744622141648,,,,,,,,0.027008898055781647,,,,30.0,nn_training_wide_v1.json,5.0,18.0,0.4989879313923892,2.124010047813543,silu,128.0,1.2753987571143508,128_64,0.4355456182770476,0.0005522667917665774,0.6520353555679321,silu,128.0,"{'path': 'media/images/training_curves_54_ede76f7ed0e828345425.png', 'size': 23792, '_type': 'image-file', 'width': 800, 'format': 'png', 'height': 500, 'sha256': 'ede76f7ed0e828345425bfd56c8ff0397e6e7d46339c521f3865bbbcc1f7d8a1'}",1.3969346284866333,1.7948225736618042,512_128_32,0.002473611720952046,"{'path': 'media/images/residual_analysis_55_5990c409d6fb31d00862.png', 'size': 149883, '_type': 'image-file', 'width': 1600, 'format': 'png', 'height': 500, 'sha256': '5990c409d6fb31d00862594fbd883859c8e08bc205cd79a42f02ccacd037b6cd'}"
